"","city","area","sale_count","avg_sale_price","sale_difficulty","rent_count","avg_rent_price","rent_difficulty","rent_to_own_ratio","sale_per_rent_count","gross_yield","investment","rent_difficulty_group","sale_difficulty_group","sale_price_group","rent_price_group"
"1"," Milano"," Turro",263,1996.91538629989,1.11026615969582,28,13.5083228123172,1.03571428571429,12.3190434398899,9.39285714285714,0.0811751338388769,"Recommended to buy","Easy","Difficult","Cheap","Normal"
"2"," Milano"," Quarto Oggiaro-Euromilano",199,1884.24362220525,1.01507537688442,24,12.1487430433369,1,12.924818747941,8.29166666666667,0.0773705240670635,"Recommended to buy","Easy","Easy","Cheap","Cheap"
"3"," Milano"," Cà Granda",138,2419.3838065498,1.07971014492754,27,14.7607215353975,1.14814814814815,13.6589066279038,5.11111111111111,0.0732123022173018,"Recommended to buy","Difficult","Medium","Cheap","Normal"
"4"," Milano"," Rogoredo-Santa Giulia",285,2119.67473289588,1.03157894736842,39,12.7300479955424,1.1025641025641,13.8757969440892,7.30769230769231,0.0720679326765427,"Recommended to buy","Difficult","Easy","Cheap","Cheap"
"5"," Milano"," Gorla",221,2366.06291678118,1.01809954751131,52,14.0007088546391,1.03846153846154,14.082994781113,4.25,0.0710076241270162,"Recommended to buy","Easy","Easy","Cheap","Normal"
"6"," Milano"," Corvetto",195,2280.64162169653,1.07179487179487,47,13.266366417618,1,14.3259625501008,4.14893617021277,0.0698033375769896,"Recommended to buy","Easy","Medium","Cheap","Normal"
"7"," Milano"," Varesina-Testori",430,2317.78995121146,1.05813953488372,55,13.3665513861896,1.05454545454545,14.4501866652394,7.81818181818182,0.0692032582807767,"Recommended to buy","Medium","Medium","Cheap","Normal"
"8"," Milano"," Dergano",380,2358.64273633258,1.02894736842105,72,13.3430947509366,1.04166666666667,14.7307326396113,5.27777777777778,0.0678852861201877,"Recommended to buy","Easy","Easy","Cheap","Normal"
"9"," Milano"," Baggio",271,1950.4836072312,1.03690036900369,20,10.9863968815546,1,14.7946867708279,13.55,0.0675918331689048,"Recommended to buy","Easy","Easy","Cheap","Cheap"
"10"," Milano"," Chiesa Rossa",288,2837.44549991377,1.03472222222222,95,15.4877891927744,1.08421052631579,15.2671106712761,3.03157894736842,0.0655002784437415,"To be evaluated","Medium","Easy","Normal","Normal"
"11"," Milano"," Ortles",88,2684.27511114918,1.03409090909091,28,14.597284385736,1,15.3240552615627,3.14285714285714,0.0652568776953121,"To be evaluated","Easy","Easy","Normal","Normal"
"12"," Milano"," Bovisa",102,2523.27613486543,1.16666666666667,62,13.644367336911,1.09677419354839,15.4109755363996,1.64516129032258,0.0648888188575779,"To be evaluated","Medium","Difficult","Normal","Normal"
"13"," Milano"," Morgantini",218,2745.37960815066,1.01376146788991,33,14.7321284364321,1.09090909090909,15.5294352068493,6.60606060606061,0.0643938421893764,"To be evaluated","Medium","Easy","Normal","Normal"
"14"," Milano"," Teodosio-Porpora",286,2804.41198308354,1.04895104895105,95,14.9102877481838,1.04210526315789,15.6738087511934,3.01052631578947,0.0638007019145146,"To be evaluated","Easy","Easy","Normal","Normal"
"15"," Milano"," Accursio",150,2522.23644480025,1.01333333333333,25,13.2142626225721,1.08,15.9060233933136,6,0.062869265011918,"To be evaluated","Medium","Easy","Normal","Normal"
"16"," Milano"," Niguarda",80,2261.33591281012,1.0375,33,11.7722087359517,1.03030303030303,16.0075873294146,2.42424242424242,0.0624703760423947,"To be evaluated","Easy","Easy","Cheap","Cheap"
"17"," Milano"," Crescenzago",297,2253.93992661469,1.02356902356902,38,11.5511034560118,1.13157894736842,16.2606393348624,7.81578947368421,0.061498196928581,"To be evaluated","Difficult","Easy","Cheap","Cheap"
"18"," Milano"," Gallaratese",139,2296.16003060479,1.02877697841727,20,11.7636167624945,1.05,16.2659727089317,6.95,0.06147803257108,"To be evaluated","Medium","Easy","Cheap","Cheap"
"19"," Milano"," Brianza-Pasteur",343,2812.98143974966,1.07288629737609,64,14.3774769474436,1.09375,16.3043293921482,5.359375,0.0613334026777928,"To be evaluated","Medium","Medium","Normal","Normal"
"20"," Milano"," Mecenate",131,2609.96941997995,1.09923664122137,21,13.268423606037,1.14285714285714,16.3921094263252,6.23809523809524,0.0610049612281157,"To be evaluated","Difficult","Medium","Normal","Normal"
"21"," Milano"," Udine",129,2710.53435178837,1.01550387596899,50,13.1015047234893,1,17.2406046035354,2.58,0.0580026062308127,"To be evaluated","Easy","Easy","Normal","Normal"
"22"," Milano"," Cermenate-Meda",77,3145.77586951944,1.03896103896104,65,15.1898168043019,1.04615384615385,17.2581402727896,1.18461538461538,0.0579436708818891,"To be evaluated","Easy","Easy","Normal","Normal"
"23"," Milano"," Vigentino",236,2972.21151108814,1.08474576271186,74,14.2737493510552,1.06756756756757,17.3524339330204,3.18918918918919,0.0576288031903738,"To be evaluated","Medium","Medium","Normal","Normal"
"24"," Milano"," Lorenteggio-Giambellino",228,2704.99117016934,1.00877192982456,61,12.9460377970954,1.0327868852459,17.4119629789757,3.73770491803279,0.0574317784391952,"To be evaluated","Easy","Easy","Normal","Cheap"
"25"," Milano"," Greco-Villaggio dei Giornalisti",257,3027.91742511229,1.03501945525292,75,14.3812911683918,1.05333333333333,17.5454657817701,3.42666666666667,0.0569947821527204,"To be evaluated","Medium","Easy","Normal","Normal"
"26"," Milano"," Naviglio Grande-Barona",253,2925.2333124832,1.05928853754941,92,13.8741951269977,1.06521739130435,17.5699880588088,2.75,0.056915235039027,"To be evaluated","Medium","Medium","Normal","Normal"
"27"," Milano"," Istria",155,3121.98121917018,1.06451612903226,35,14.6615853784487,1.02857142857143,17.744677323909,4.42857142857143,0.0563549272689569,"To be evaluated","Easy","Medium","Normal","Normal"
